Site ID,Date,On Road,Direction,Ref Road,Travel,ADT 2020,AM Hour,AM Volume,PM Hour,PM Volume,2019,2018,2017,2016,,,,,,,,
3103,2/3/2020,99th Ave,N ,Thunderbird Blvd,N ,9505,10:30 AM,876,1:00 PM,870,8565,8457,7622,9407,,,,,,,,
3102,2/3/2020,99th Ave,N,Thunderbird Blvd,S,8484,11:15 AM,749,4:15 PM,756,9655,9850,8828,8883,,,,,,,,
3073,3/2/2020,99th Ave,N,Union Hills Dr,N,6652,10:30 AM,544,4:00 PM,585,6503,6351,C,5032,,,,,,,,
3074,3/2/2020,99th Ave,N ,Union Hills Dr,S ,6160,11:15 AM,568,1:30 PM,522,6057,6032,C,6999,,,,,,,,
7174,3/2/2020,99th Ave,S,Union Hills Dr,N,8167,10:00 AM,690,12:15 PM,761,8744,8952,C,8525,,,,,,,,
7175,3/2/2020,99th Ave,S,Union Hills Dr,S,7905,9:45 AM,679,12:15 PM,747,8297,7874,C,6619,,,,,,,,
3088,,103rd Ave,N ,Boswell Blvd,B ,C,,,,,4396,6672,4779,4764,,,,,,,,
3087,2/5/2020,103rd Ave,S ,Boswell Blvd,B ,4297,11:15 AM,472,12:15 PM,456,5155,7199,6542,3896,,,,,,,,
3025,1/6/2020,103rd Ave,N ,Camden Ave,B ,2194,11:15 AM,233,2:00 PM,200,2218,2086,2189,1915,,,,,,,,
2943,,103rd Ave,N ,Grand Ave,B ,C,,,,,12156,10911,11307,8695,,,,,,,,
3010,1/6/2020,103rd Ave,N ,Mountain View Rd,B ,1854,11:15 AM,180,12:15 PM,168,1876,2415,2087,1616,,,,,,,,
3020,1/22/2020,103rd Ave,N ,Oakmont Dr,B ,4987,11:15 AM,494,12:15 PM,458,4546,5132,4571,4652,,,,,,,,
3001,1/6/2020,103rd Ave,N,Olive Ave,N,1411,11:15 AM,109,2:45 PM,133,1771,1949,2560,1403,,,,,,,,
3002,1/6/2020,103rd Ave,N ,Olive Ave,S ,1350,10:00 AM,128,5:00 PM,126,1391,2100,1317,1387,,,,,,,,
3023,2/3/2020,103rd Ave,N ,Peoria Ave,B ,2956,11:00 AM,278,3:30 PM,295,4011,3853,2959,C,,,,,,,,
3024,1/13/2020,103rd Ave,S ,Peoria Ave,B ,2888,10:45 AM,269,3:00 PM,263,2829,2920,3147,3084,,,,,,,,
2945,,103rd Ave,N,Santa Fe Dr,B,C,,,,,8259,10964,8467,9008,,,,,,,,
3021,2/3/2020,103rd Ave,N ,Thunderbird Blvd,B ,5515,11:15 AM,593,12:30 PM,597,5799,7752,6026,6908,,,,,,,,
7056,3/9/2020,103rd Ave,N,Union Hills Dr,B,342,10:45 AM,37,2:00 PM,43,669,443,629,528,,,,,,,,
3018,1/21/2020,105th Ave,S ,Alabama Ave,B ,715,11:15 AM,75,3:00 PM,76,780,1017,673,758,,,,,,,,
3014,1/6/2020,105th Ave,N ,Deanne Dr,B ,1051,11:15 AM,123,12:15 PM,113,1589,1519,1078,1303,,,,,,,,
3019,1/15/2020,105th Ave,N ,Hacienda Dr,B ,571,11:15 AM,64,12:45 PM,61,875,1239,874,685,,,,,,,,
3017,1/13/2020,105th Ave,N ,Peoria Ave,B ,1075,11:15 AM,124,3:30 PM,130,783,869,798,957,,,,,,,,
2960,1/13/2020,107th Ave,N,Abbott Ave,N,2933,11:15 AM,351,12:30 PM,278,3055,3820,2864,2937,,,,,,,,
2961,1/13/2020,107th Ave,N ,Abbott Ave,S ,3064,11:15 AM,327,12:45 PM,301,2995,2966,2948,3305,,,,,,,,
3068,2/24/2020,107th Ave,N ,Boswell Blvd,B ,4804,11:15 AM,447,12:15 PM,464,4735,6807,9995,8643,,,,,,,,
3412,11/18/2020,107th Ave,N,Broadway Rd,B,4096,7:30 AM,254,4:30 PM,410,5251,4655,3070,4216,,,,,,,,
2956,1/22/2020,107th Ave,N,Cherry Hills Dr E,N,3979,11:15 AM,379,12:15 PM,438,3640,4554,3920,4281,,,,,,,,
2957,1/22/2020,107th Ave,N,Cherry Hills Dr E,S,4470,11:15 AM,431,12:15 PM,454,3320,4100,4303,4809,,,,,,,,
2972,1/15/2020,107th Ave,S,Cherry Hills Dr W,N,3249,11:15 AM,344,12:30 PM,307,4873,6135,3731,3641,,,,,,,,
2973,1/15/2020,107th Ave,S,Cherry Hills Dr W,S,3405,11:00 AM,332,3:15 PM,326,2879,3078,3541,3471,,,,,,,,
3007,1/6/2020,107th Ave,N,Clair Dr,N,2542,11:15 AM,285,1:00 PM,245,3075,4208,2579,2424,,,,,,,,
3008,1/6/2020,107th Ave,N ,Clair Dr,S ,2708,11:15 AM,226,2:15 PM,275,2944,4560,2606,3395,,,,,,,,
3067,2/24/2020,107th Ave,N ,Del Webb Blvd,B ,4332,11:15 AM,401,12:15 PM,426,4358,4050,7061,5970,,,,,,,,
7152,1/27/2020,107th Ave,S,Grand Ave,N,5224,10:30 AM,439,12:30 PM,517,7221,11012,5326,4461,,,,,,,,
7153,1/27/2020,107th Ave,S,Grand Ave,S,6039,11:00 AM,604,12:15 PM,614,5942,4966,6890,6698,,,,,,,,
4954,7/28/2020,107th Ave,S,Hatfield Rd,B,13321,11:00 AM,895,5:00 PM,1124,12699,10393,12689,10802,,,,,,,,
3139,11/18/2020,107th Ave,N,MC 85,B,16676,7:15 AM,1055,4:45 PM,1419,19545,19217,17236,16811,,,,,,,,
4735,11/18/2020,107th Ave,S,MC 85,B,23686,7:15 AM,3005,12:15 PM,1591,15690,14602,11379,12758,,,,,,,,
3000,1/6/2020,107th Ave,N ,Olive Ave,B ,3906,11:15 AM,348,1:15 PM,387,4011,4164,3845,3577,,,,,,,,
4736,11/18/2020,107th Ave,N,Southern Ave,B,820,10:00 AM,61,4:45 PM,88,970,1015,877,791,,,,,,,,
4070,3/9/2020,107th Ave,N ,Union Hills Dr,B ,7427,11:15 AM,522,4:30 PM,632,7423,C,6631,7076,,,,,,,,
4952,7/28/2020,107th Ave,N,Williams Rd,B,12607,11:15 AM,813,5:00 PM,1049,12124,11299,13894,9086,,,,,,,,
2959,1/15/2020,109th Ave,S,Crosby Dr,B,354,11:15 AM,48,1:00 PM,45,398,450,422,348,,,,,,,,
4169,1/15/2020,111th Ave,N ,Elk Ave,B ,10434,8:00 AM,740,4:15 PM,975,10393,10427,9877,9804,,,,,,,,
2948,1/27/2020,111th Ave,N ,Grand Ave,B ,9043,7:30 AM,737,4:45 PM,860,8525,9618,8462,8689,,,,,,,,
2954,1/6/2020,111th Ave,N ,Olive Ave,B ,7201,7:45 AM,560,2:15 PM,570,6915,8382,6275,C,,,,,,,,
4167,1/13/2020,111th Ave,N ,Peoria Ave,B ,9917,8:00 AM,772,4:15 PM,801,10365,10557,9155,9636,,,,,,,,
2955,1/13/2020,111th Ave,S ,Peoria Ave,B ,7624,8:00 AM,620,5:00 PM,625,7872,7411,7823,7196,,,,,,,,
7315,1/21/2020,111th Ave,N,Tennessee Ave,B,10712,11:15 AM,791,3:30 PM,868,10890,11651,10854,10836,,,,,,,,
4171,1/29/2020,111th Ave,N ,Thunderbird Blvd,B ,786,9:45 AM,64,3:30 PM,78,1028,1298,850,1075,,,,,,,,
3048,2/3/2020,111th Ave,S ,Thunderbird Blvd,B ,7638,7:45 AM,592,4:30 PM,790,7617,9484,7558,8245,,,,,,,,
7061,3/9/2020,114th Ave,S,Bell Rd,B,1650,10:30 AM,144,2:45 PM,150,1756,4393,3620,1647,,,,,,,,
4946,8/5/2020,115TH AVE,N,HAPPY VALLEY RD,B,628,10:00 AM,46,5:15 PM,60,687,701,805,740,,,,,,,,
4938,,117TH AVE,S,HAPPY VALLEY RD,B,C,,,,,C,7465,8818,10412,,,,,,,,
